Order,Member,SKU,Created On,Description,Member's Gender,Member's Membership Level,Member's Purchase History,Order Value,Payment Method,Order Status,Total_Items,Age Group
6422558,M27458,"15669789, 15669830, 34993978, 15669856, 7753787, 15668375, 15669824, 15668465, 7753739",28-09-2014,"Boiled Rice, Other Rice Products, Mosquito Repellent, Sugar, Health Drinks, Root Vegetables, Raw Rice, Root Vegetables, Health Drinks",Male,Silver,0,620,PayPal,Shipped,9,26-35
6422636,M39021,"7580802, 15668453, 15668375, 15668379, 15669760, 15668460, 15668683, 15669875, 34938526, 15669872, 15668467",28-09-2014,"Sunflower Oils, Brinjals, Root Vegetables, Other Vegetables, Whole Spices, Gourd & Cucumber, Beans, Kidney Beans, Other Sweets,Flat Rice, Beans",Male,Gold,8,618,Credit Card,Delivered,11,55+
6423338,M36366,"15668469, 15668478, 7586314, 15669800, 15669783, 15669824, 15669875, 34992998, 34992996, 15669811, 34992999, 34934493",28-09-2014,"Beans, Banana, Snacky Nuts, Cashews, Millet flour, Raw Rice, Kidney Beans, Yogurt & Lassi, Yogurt & Lassi, Almonds, Yogurt & Lassi, Chips",Male,Bronze,3,295,Cash,Shipped,12,55+
6423534,M25900,"34987356, 15670251, 7585573, 34992815",28-09-2014,"Facial Tissues, Organic F&V, Cakes, Cookies",Female,Gold,7,881,Credit Card,Pending,4,55+
6423959,M57354,"34989501, 7580811, 7569799, 34938526",29-09-2014,"Other Pulses, Sunflower Oils, Snacks, Other Sweets",Male,Bronze,5,595,Cash,Delivered,4,55+
6424341,M99030,"15668381, 7548497, 15668460, 15668453, 15668475",29-09-2014,"Other Vegetables, Liquid Soaps & Bars, Gourd & Cucumber, Brinjals, Beans",Male,Gold,10,984,Cash,Delivered,5,19-25
6424438,M09303,15668460,29-09-2014,Gourd & Cucumber,Female,Bronze,1,447,PayPal,Pending,1,55+
6424740,M62656,"15669872, 15668453, 15669771, 15668380, 34987568, 92380533, 15669998, 15669830, 15669836, 15669799, 15668477, 15668460, 15668381, 15670270, 15668685, 15669777, 15668377",29-09-2014,"Avalakki / Poha, Brinjals, Maida, Other Vegetables, Whole Spices, Regular Pasta, Other Pulses, Other Rice Products, Raw Rice, Raisins, Exotic Vegetables, Gourd & Cucumber, Other Vegetables, Other Pulses, Beans, Urad Dal, Root Vegetables",Female,Bronze,3,322,PayPal,Shipped,17,55+
6424814,M54345,"15668416, 7624786, 15668688",29-09-2014,"Banana, Ghee, Root Vegetables",Male,Gold,10,172,Cash,Pending,3,55+
6424887,M36432,7692523,29-09-2014,Hair Colors & Dyes,Female,Gold,1,387,PayPal,Pending,1,55+
